ID,DESCRICAO,PRECOVENDA,CODBARRAS
70,CABO EMBREAGEM  CB300R - VEI,"35,00",336312II
71,CABO ACELERADOR  XRE300 -VEI,"25,00",336247II
72,CABO EMBREAGEM COMPATIVEL P/FAZER YS 250- VEI,"35,00",NULL
73,CABO ACELERADOR  FAZER 250,"25,00",7800000000733
74,CABO ACELERADOR XLR 125,"20,00",7800000000740
75,CABO EMBREAGEM COMPATIVEL P/ BIZ 125/08,"15,00",7800000000757
76,CABO ACELERADOR POP 100 ATE 2013,"24,00",7800000000764
77,CABO ACELERADOR POP 100 07-12 - +MAIS,"20,00",7895797831226
77,CABO ACELERADOR POP 100 07-12 - +MAIS,"20,00",7800000000771
78,CABO  VELOCIMETRO NXR150 BROS 2009 ESD,"15,00",7800000000788
79,CABO  VELOCIMETRO NXR150 ESD BROS 2009 E.D,"18,00",7800000000795
80,CABO EMBREAGEM NXR150 BROS 06/08 - MAX CABLE,"25,00",2716940000137
81,CABO EMBREAGEM  LANDER XTZ 250 2007 A 2012 - SCHER,"60,00",7890008803078
82,"CABO ACELERADOR  A , FAN/TITA 150  14","30,00",NULL
83,CABO ACELERADOR COMPATIVEL P/ TITAN KS/KSE/ES 02 V,"20,00",NULL
84,CABO FREIO NXR125/150,"18,00",NULL
85,CABO DE FREIO DIANTEIRO CG 125 FAN 125 CONTROL FRE,"18,00",NULL
86,CABO ACELERADOR NXR 125 - MAX CABLE,"20,00",NULL
87,CABO ACELERADOR COMPATIVEL P/ TITAN 150 KS/ES/JOB/,"15,00",NULL
88,CABO ACELERADOR COMPATIVEL P/ TITAN/CARGO 98/99,"15,00",NULL
89,,"20,00",NULL
90,CABO FREIO BIZ 125 11-12 BIZ 100 12,"20,00",NULL
91,,"15,00",NULL
92,CABO ACELERADOR TITAN 2000/2001 - SCT,"25,00",2731780000130
93,CABO ACELERADOR TITAN 2000/2001,"18,00",NULL
94,,"25,00",NULL
95,RETENTOR VALVULAR TODAY/TITAN/YES/INTRUDER125,"12,00",NULL
96,RAIO DIANT.ML/TUR./TITAN2000 ES/ESD 3.5 MM CROM.,"55,00",NULL
97,ROLAMENTO 6303 2RS C3 RODA TRAS NX/XR200-GBR GTOP,"10,00",NULL
98,RAIO TRASEIRO BIZ100/125/POP 4MM CROM 8X122 8X 122,"55,00",NULL
99,GRAXA BRANCA P/ CORRENTE 80GR BISNAGA - GRANPEX,"5,00",NULL
100,CHAVE DE IGNICAO BIZ 125/BIZ +125 2009,"58,00",NULL
101,CHAVE INTERRUPTOR PARTIDA CONDO CG 125 ES 2009,"30,00",NULL
102,CHAVE IGNICAO BIZ 125,"70,00",7898485617928
103,CHAVE IGNICAO COMPATIVEL P/POP 100,"28,00",NULL
104,CHAVE IGNICAO  COMPATIVEL P/ CG 125 FAN 09 EM DIAN,"28,00",NULL
